repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
rasinmuhammed/misata,rasinmuhammed,User,ct|ev|gc|hma|md|mt|st,65,4,0,370,1,rasinmuhammed,0,misata,,0,3,23575,Python,MIT,2025-12-16,2026-08-14,False,False,False,https://misata.studio,data-engineering|data-generation|database-seeding|developer-tools|generative-ai|llm|mock-data|numpy|pandas|python|synthetic|synthetic-data|synthetic-dataset-generation|testing|dbt|fake-data|mcp-server|pytest|test-data|test-data-generator,"Synthetic test data that hits the numbers you declare, exactly. Multi-table with verified foreign-key integrity, deterministic, no model in the data path. Python + MCP server.",ok,2026-08-14,,,,,,,,,,,
sb-ai-lab/Sim4Rec,sb-ai-lab,Organization,ev,58,5,6,33,7,monkey0head|niksukhorukov|Blinkop|AleXXL1|Veronika-Ivanova,0,sim4rec,,2,6,10313,Jupyter Notebook,Apache-2.0,2022-11-28,2025-03-24,False,False,False,https://sb-ai-lab.github.io/Sim4Rec/,evaluation-framework|recommendation|recommender-system|rl-training|synthetic-data|user-modeling,Simulator for training and evaluation of Recommender Systems,ok,2026-08-14,,,,,,,,,,,
ytopt-team/ytopt,ytopt-team,Organization,ev,55,18,4,543,17,wuxf99|Jaehoon Koo|pbalapra|jlnav|Deathn0t,0,,,0,49,316634,C,BSD-2-Clause,2019-01-15,2026-08-13,False,False,False,https://github.com/ytopt-team/ytopt,autotuning|bayesian-optimization|asynchronous-search|hyperparameter-optimization|asynchronous-and-dynamic-task-management|python|hyperparameter-tuning,ytopt: machine-learning-based autotuning and hyperparameter optimization framework using Bayesian Optimization,ok,2026-08-14,,,,,,,,,,,
lxyeternal/MalSkillBench,lxyeternal,User,ct|ev|gc|md|par|sq,47,9,0,39,1,lxyeternal,0,,,6,2,1479707,Python,,2026-01-21,2026-06-10,False,False,False,,,A benchmark and generation framework for malicious agent skills.,ok,2026-08-14,,,,,,,,,,,
ITESM-MNA/MLOps,ITESM-MNA,Organization,req,46,28,11,50,3,Liobreaker1|Ivanrs297|Dr-Gerardo-RH,0,,,0,5,51907,Jupyter Notebook,,2024-07-10,2025-10-31,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kayua/MalDataGen,kayua,User,ct|gc|req,46,7,22,138,5,AngeloAnon266|kayua|A-G-D24|rodrigomansilha|luizfelipelaviola,0,,,0,1,320471,Python,MIT,2025-05-28,2025-12-26,False,False,False,,autoencoder|cgan|ctgan|dataaugmentation|diffusion-models|generative-ai|latent-diffusion|tvae|vae|vq-vae|wgan|wgan-gp,"MalDataGen is an advanced Python framework for generating and evaluating synthetic tabular datasets using modern generative models, including diffusion and adversarial architectures.",ok,2026-08-14,,,,,,,,,,,
sascommunities/sas-viya-machine-learning,sascommunities,Organization,ct,46,52,18,187,17,brettwujek|SophiaRowland|patrickkoch|pepecura|fundag,0,,,0,42,256980,Jupyter Notebook,Apache-2.0,2017-02-27,2023-01-04,False,False,False,,,Code examples for machine learning techniques using the SAS Viya platform.,ok,2026-08-14,,,,,,,,,,,
memgrafter/research-digests,memgrafter,User,ct|gc,45,5,0,148,2,memgrafter|Copilot,0,,,0,2,702715,Python,,2026-01-28,2026-05-03,False,False,False,,,Analysis,ok,2026-08-14,,,,,,,,,,,
nhsx/SynthVAE,nhsx,Organization,ev|rdt|req,45,11,5,48,6,danjscho|JRPearson500|DaveBrind|dependabot[bot]|djdnx,0,,,12,8,1725,Python,MIT,2021-09-16,2023-04-04,False,False,False,,nhs|pytorch|synthetic|variational-autoencoder,Synthetic data generation by a Variational AutoEncoder with Differential Privacy assessed using Synthetic Data Vault metrics,ok,2026-08-14,,,,,,,,,,,
spring-epfl/synthetic_data_release,spring-epfl,Organization,ct,45,21,4,27,3,reslbesl|Laurent Girod|Nampoina Andriamilanto,0,,,5,2,2457,Python,BSD-3-Clause,2020-11-13,2022-12-07,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
